# 출사표(出師表) — 제갈량, 삼국시대 촉한. 전문을 의미 단위 문장으로 분할 수록.
# 형식: 원문|현대어풀이|출전|갈래|난이도|작품키
故五月渡瀘深入不毛|그리하여 오월에 노수를 건너 불모의 땅 깊이 들어갔습니다.|출사표|한문 산문|고급|출사표
今南方已定兵甲已足|이제 남방이 이미 평정되고 무기와 갑옷도 갖추어졌으니|출사표|한문 산문|고급|출사표
當獎率三軍北定中原|마땅히 삼군을 거느려 북으로 중원을 평정하여|출사표|한문 산문|고급|출사표
庶竭駑鈍攘除姦凶|바라건대 둔한 힘이나마 다하여 간사하고 흉한 무리를 물리치고|출사표|한문 산문|고급|출사표
興復漢室還於舊都|한실을 다시 일으켜 옛 도읍으로 돌아가는 것|출사표|한문 산문|고급|출사표
此臣所以報先帝而忠陛下之職分也|이것이 신이 선제께 보답하고 폐하께 충성하는 직분입니다.|출사표|한문 산문|고급|출사표
願陛下託臣以討賊興復之效|원컨대 폐하께서는 신에게 역적을 토벌하고 한실을 부흥할 임무를 맡기시고|출사표|한문 산문|고급|출사표
不效則治臣之罪以告先帝之靈|이루지 못하거든 신의 죄를 다스려 선제의 영전에 고하소서.|출사표|한문 산문|고급|출사표
臣不勝受恩感激|신은 은혜를 받은 감격을 이기지 못하옵니다.|출사표|한문 산문|고급|출사표
今當遠離臨表涕泣不知所云|이제 멀리 떠나려 함에 표문을 앞에 두고 눈물이 흘러 아뢸 바를 모르겠습니다.|출사표|한문 산문|고급|출사표
