# 형식: 원문|현대어풀이|출전|갈래|난이도
# === 사자소학(四字小學) — 효·부모 (초급, 4자) ===
晨必先起|새벽에는 반드시 먼저 일어나|사자소학|한문 산문|중급
必盥必漱|반드시 세수하고 양치질하라|사자소학|한문 산문|중급
昏定晨省|저녁에는 잠자리를 정하고 새벽에는 문안하라|사자소학|한문 산문|고급
冬溫夏凊|겨울엔 따뜻하게 여름엔 시원하게 해드려라|사자소학|한문 산문|고급
出必告之|나갈 때는 반드시 아뢰고|사자소학|한문 산문|초급
反必面之|돌아와서는 반드시 뵈어라|사자소학|한문 산문|중급
身體髮膚|몸과 터럭과 살갗은|사자소학|한문 산문|중급
勿毁勿傷|헐지도 말고 상하지도 말라|사자소학|한문 산문|중급
衣服帶靴|의복과 띠와 신은|사자소학|한문 산문|초급
勿失勿裂|잃지도 말고 찢지도 말라|사자소학|한문 산문|중급
飮食雖惡|음식이 비록 거칠더라도|사자소학|한문 산문|중급
與之必食|주시면 반드시 먹어라|사자소학|한문 산문|초급
一粒之穀|한 알의 곡식도|사자소학|한문 산문|중급
必分以食|반드시 나누어 먹어라|사자소학|한문 산문|초급
父母愛之|부모께서 사랑하시면|사자소학|한문 산문|초급
喜而勿忘|기뻐하며 잊지 말라|사자소학|한문 산문|초급
父母責之|부모께서 꾸짖으시면|사자소학|한문 산문|초급
反省勿怨|반성하고 원망하지 말라|사자소학|한문 산문|중급
# === 사자소학 — 형제·사제·붕우 ===
兄弟姉妹|형제와 자매는|사자소학|한문 산문|초급
同氣而生|한 기운에서 태어났다|사자소학|한문 산문|중급
兄友弟恭|형은 우애하고 아우는 공경하여|사자소학|한문 산문|중급
不敢怨怒|감히 원망하거나 성내지 말라|사자소학|한문 산문|중급
骨肉雖分|뼈와 살은 비록 나뉘었으나|사자소학|한문 산문|고급
本生一氣|본래 한 기운에서 났다|사자소학|한문 산문|중급
比之於木|이를 나무에 견주면|사자소학|한문 산문|중급
同根異枝|뿌리는 같고 가지는 다르다|사자소학|한문 산문|중급
兄弟怡怡|형제가 서로 화목하여|사자소학|한문 산문|중급
行則雁行|길을 갈 때는 기러기처럼 나란히 가라|사자소학|한문 산문|고급
事師如親|스승 섬기기를 어버이같이 하여|사자소학|한문 산문|중급
必恭必敬|반드시 공손하고 반드시 공경하라|사자소학|한문 산문|초급
先生施敎|선생께서 가르침을 베푸시거든|사자소학|한문 산문|중급
弟子是則|제자는 이를 본받으라|사자소학|한문 산문|중급
夙興夜寐|아침 일찍 일어나고 밤늦게 자며|사자소학|한문 산문|고급
勿懶讀書|글 읽기를 게을리하지 말라|사자소학|한문 산문|중급
人所以貴|사람이 귀한 까닭은|사자소학|한문 산문|고급
以其倫綱|그 인륜과 강상 때문이다|사자소학|한문 산문|고급
擇友交之|벗을 가려서 사귀되|사자소학|한문 산문|중급
有所補益|보탬이 되는 바가 있게 하라|사자소학|한문 산문|중급
友其德也|그 덕을 벗하는 것이니|사자소학|한문 산문|중급
不可有挾|기댐이 있어서는 안 된다|사자소학|한문 산문|고급
友其正人|바른 사람을 벗하면|사자소학|한문 산문|중급
我亦自正|나 또한 절로 바르게 된다|사자소학|한문 산문|중급
從遊邪人|간사한 사람을 따라 놀면|사자소학|한문 산문|중급
我亦自邪|나 또한 절로 간사해진다|사자소학|한문 산문|중급
近墨者黑|먹을 가까이하는 자는 검어지고|사자소학|한문 산문|중급
近朱者赤|붉은 것을 가까이하는 자는 붉어진다|사자소학|한문 산문|중급
白沙在泥|흰 모래가 진흙에 있으면|명심보감|한문 산문|고급
不染自陋|물들지 않아도 절로 더러워진다|명심보감|한문 산문|고급
言而不信|말하되 미덥지 않으면|사자소학|한문 산문|중급
非直之友|곧은 벗이 아니다|사자소학|한문 산문|중급
見善從之|착함을 보면 그것을 따르고|사자소학|한문 산문|중급
知過必改|허물을 알면 반드시 고쳐라|사자소학|한문 산문|중급
# === 명심보감 계선편·천명편 (중급~고급) ===
爲善者|착한 일을 하는 사람은|명심보감|한문 산문|중급
天報之以福|하늘이 복으로써 갚아준다|명심보감|한문 산문|고급
爲不善者|착하지 않은 일을 하는 사람은|명심보감|한문 산문|중급
天報之以禍|하늘이 재앙으로써 갚는다|명심보감|한문 산문|고급
一日不念善|하루라도 착함을 생각하지 않으면|명심보감|한문 산문|고급
諸惡皆自起|온갖 악이 다 절로 일어난다|명심보감|한문 산문|고급
恩義廣施|은혜와 의리를 널리 베풀라|명심보감|한문 산문|고급
人生何處不相逢|사람이 살며 어디선들 만나지 않으랴|명심보감|한문 산문|고급
讐怨莫結|원수와 원한을 맺지 말라|명심보감|한문 산문|고급
路逢狹處難回避|좁은 길에서 만나면 피하기 어렵다|명심보감|한문 산문|고급
種瓜得瓜|오이를 심으면 오이를 얻고|명심보감|한문 산문|중급
種豆得豆|콩을 심으면 콩을 얻는다|명심보감|한문 산문|중급
天網恢恢|하늘의 그물은 넓고도 넓어|명심보감|한문 산문|고급
疎而不漏|성기지만 새지 않는다|명심보감|한문 산문|고급
順天者存|하늘을 따르는 자는 살고|명심보감|한문 산문|고급
逆天者亡|하늘을 거스르는 자는 망한다|명심보감|한문 산문|고급
禍福無門|화와 복은 따로 문이 없고|명심보감|한문 산문|고급
惟人自召|오직 사람이 스스로 부른다|명심보감|한문 산문|고급
積善之家|선을 쌓은 집안에는|주역|한문 산문|고급
必有餘慶|반드시 남는 경사가 있다|주역|한문 산문|고급
積惡之家|악을 쌓은 집안에는|주역|한문 산문|고급
必有餘殃|반드시 남는 재앙이 있다|주역|한문 산문|고급
# === 명심보감 순명·효행·정기편 ===
萬事分已定|모든 일은 분수가 이미 정해져 있는데|명심보감|한문 산문|고급
浮生空自忙|덧없는 인생만 부질없이 스스로 바쁘다|명심보감|한문 산문|고급
孝於親|어버이에게 효도하면|명심보감|한문 산문|중급
子亦孝之|자식도 또한 나에게 효도한다|명심보감|한문 산문|중급
身既不孝|자신이 이미 효도하지 않았다면|명심보감|한문 산문|고급
子何孝焉|자식이 어찌 효도하겠는가|명심보감|한문 산문|고급
孝順還生孝順子|효도하고 순한 사람은 다시 효순한 자식을 낳고|명심보감|한문 산문|고급
忤逆還生忤逆兒|거역하는 사람은 다시 거역하는 아이를 낳는다|명심보감|한문 산문|고급
見人之善|남의 착함을 보거든|명심보감|한문 산문|중급
而尋己之善|나의 착함을 찾고|명심보감|한문 산문|고급
見人之惡|남의 악함을 보거든|명심보감|한문 산문|중급
而尋己之惡|나의 악함을 찾으라|명심보감|한문 산문|고급
勿以貴己而賤人|자기가 귀하다 하여 남을 천히 여기지 말라|명심보감|한문 산문|고급
勿以自大而蔑小|스스로 크다 하여 작은 이를 업신여기지 말라|명심보감|한문 산문|고급
聞人之過|남의 허물을 듣거든|명심보감|한문 산문|중급
如聞父母之名|부모의 이름을 들은 것처럼 하라|명심보감|한문 산문|고급
耳可得聞|귀로는 들을 수 있으나|명심보감|한문 산문|중급
口不可言也|입으로는 말해서는 안 된다|명심보감|한문 산문|고급
# === 명심보감 안분·존심·계성편 ===
知足者|족함을 아는 사람은|명심보감|한문 산문|중급
貧賤亦樂|가난하고 천하여도 또한 즐겁다|명심보감|한문 산문|중급
不知足者|족함을 모르는 사람은|명심보감|한문 산문|중급
富貴亦憂|부유하고 귀하여도 또한 근심한다|명심보감|한문 산문|중급
知足常足|족함을 알면 늘 족하니|명심보감|한문 산문|중급
終身不辱|죽을 때까지 욕되지 않는다|명심보감|한문 산문|고급
知止常止|그칠 줄 알면 늘 그치니|명심보감|한문 산문|중급
終身無恥|죽을 때까지 부끄러움이 없다|명심보감|한문 산문|고급
寧靜致遠|편안하고 고요함으로 멀리 이른다|제갈량|한문 산문|고급
心不負人|마음이 남을 저버리지 않으면|명심보감|한문 산문|고급
面無慙色|얼굴에 부끄러운 빛이 없다|명심보감|한문 산문|고급
忍一時之忿|한때의 분함을 참으면|명심보감|한문 산문|고급
免百日之憂|백 날의 근심을 면한다|명심보감|한문 산문|고급
得忍且忍|참을 수 있으면 또 참고|명심보감|한문 산문|중급
得戒且戒|경계할 수 있으면 또 경계하라|명심보감|한문 산문|중급
不忍不戒|참지 않고 경계하지 않으면|명심보감|한문 산문|중급
小事成大|작은 일이 큰 일이 된다|명심보감|한문 산문|중급
凡事留人情|모든 일에 인정을 남겨 두면|명심보감|한문 산문|고급
後來好相見|뒷날 좋게 다시 만난다|명심보감|한문 산문|고급
# === 명심보감 권학·훈자·성심편 ===
勤爲無價之寶|부지런함은 값을 매길 수 없는 보배요|명심보감|한문 산문|고급
愼是護身之符|삼감은 몸을 지키는 부적이다|명심보감|한문 산문|고급
一生之計在於幼|일생의 계획은 어릴 때에 있고|명심보감|한문 산문|고급
一年之計在於春|일 년의 계획은 봄에 있다|명심보감|한문 산문|고급
一日之計在於寅|하루의 계획은 새벽에 있다|명심보감|한문 산문|고급
幼而不學|어려서 배우지 않으면|명심보감|한문 산문|중급
老無所知|늙어서 아는 바가 없다|명심보감|한문 산문|중급
黃金滿籯|황금이 광주리에 가득 차도|명심보감|한문 산문|고급
不如敎子一經|자식에게 경서 하나 가르침만 못하다|명심보감|한문 산문|고급
至樂莫如讀書|지극한 즐거움은 글 읽기만 한 것이 없고|명심보감|한문 산문|고급
至要莫如敎子|지극히 요긴함은 자식 가르침만 한 것이 없다|명심보감|한문 산문|고급
事雖小|일이 비록 작더라도|명심보감|한문 산문|초급
不作不成|하지 않으면 이루어지지 않는다|명심보감|한문 산문|중급
子雖賢|자식이 비록 어질더라도|명심보감|한문 산문|초급
不敎不明|가르치지 않으면 밝지 못하다|명심보감|한문 산문|중급
水至淸則無魚|물이 너무 맑으면 물고기가 없고|명심보감|한문 산문|고급
人至察則無徒|사람이 너무 살피면 따르는 무리가 없다|명심보감|한문 산문|고급
大富由天|큰 부는 하늘에 말미암고|명심보감|한문 산문|중급
小富由勤|작은 부는 부지런함에 말미암는다|명심보감|한문 산문|중급
# === 맹자 명구 (고급) ===
惟仁者宜在高位|오직 어진 자라야 높은 자리에 마땅하다|맹자|한문 산문|고급
不仁而在高位|어질지 못하면서 높은 자리에 있으면|맹자|한문 산문|고급
是播其惡於衆也|이는 그 악을 뭇사람에게 퍼뜨리는 것이다|맹자|한문 산문|고급
得道者多助|도를 얻은 자는 도움이 많고|맹자|한문 산문|고급
失道者寡助|도를 잃은 자는 도움이 적다|맹자|한문 산문|고급
富貴不能淫|부귀가 마음을 어지럽히지 못하고|맹자|한문 산문|고급
貧賤不能移|빈천이 절개를 옮기지 못하며|맹자|한문 산문|고급
威武不能屈|위세와 무력이 굽히지 못한다|맹자|한문 산문|고급
此之謂大丈夫|이를 일러 대장부라 한다|맹자|한문 산문|고급
老吾老|내 어른을 어른으로 섬겨|맹자|한문 산문|고급
以及人之老|남의 어른에게까지 미친다|맹자|한문 산문|고급
幼吾幼|내 아이를 아이로 사랑하여|맹자|한문 산문|고급
以及人之幼|남의 아이에게까지 미친다|맹자|한문 산문|고급
仁者愛人|어진 자는 남을 사랑하고|맹자|한문 산문|고급
有禮者敬人|예 있는 자는 남을 공경한다|맹자|한문 산문|고급
愛人者人恒愛之|남을 사랑하는 자는 남도 늘 그를 사랑하고|맹자|한문 산문|고급
敬人者人恒敬之|남을 공경하는 자는 남도 늘 그를 공경한다|맹자|한문 산문|고급
盡信書|글을 다 믿는 것은|맹자|한문 산문|고급
則不如無書|책이 없느니만 못하다|맹자|한문 산문|고급
# === 노자 도덕경 (고급) ===
道可道|도를 도라 말할 수 있으면|노자|고전 산문|고급
非常道|늘 그러한 도가 아니다|노자|고전 산문|고급
名可名|이름을 이름 지을 수 있으면|노자|고전 산문|고급
非常名|늘 그러한 이름이 아니다|노자|고전 산문|고급
上善若水|가장 좋은 것은 물과 같다|노자|고전 산문|고급
水善利萬物而不爭|물은 만물을 잘 이롭게 하되 다투지 않는다|노자|고전 산문|고급
知人者智|남을 아는 것은 지혜이고|노자|고전 산문|고급
自知者明|자기를 아는 것은 밝음이다|노자|고전 산문|고급
勝人者有力|남을 이기는 것은 힘이 있음이고|노자|고전 산문|고급
自勝者強|자기를 이기는 것이 강함이다|노자|고전 산문|고급
知足者富|족함을 아는 자가 부유하다|노자|고전 산문|고급
合抱之木|아름드리 나무도|노자|고전 산문|고급
生於毫末|털끝에서 생겨나고|노자|고전 산문|고급
九層之臺|아홉 층의 누대도|노자|고전 산문|고급
起於累土|한 줌 흙에서 일어나며|노자|고전 산문|고급
千里之行|천 리 길도|노자|고전 산문|중급
始於足下|발밑에서 시작된다|노자|고전 산문|중급
大器晚成|큰 그릇은 늦게 이루어진다|노자|고전 산문|고급
信言不美|미더운 말은 아름답지 않고|노자|고전 산문|고급
美言不信|아름다운 말은 미덥지 않다|노자|고전 산문|고급
# === 대학·중용 (고급) ===
大學之道|대학의 도는|대학|한문 산문|고급
在明明德|밝은 덕을 밝힘에 있고|대학|한문 산문|고급
在親民|백성을 새롭게 함에 있으며|대학|한문 산문|고급
在止於至善|지극한 선에 머무름에 있다|대학|한문 산문|고급
物有本末|사물에는 근본과 말단이 있고|대학|한문 산문|고급
事有終始|일에는 끝과 시작이 있다|대학|한문 산문|고급
知所先後|먼저 할 바와 뒤에 할 바를 알면|대학|한문 산문|고급
則近道矣|도에 가까워진다|대학|한문 산문|고급
心不在焉|마음이 거기에 있지 않으면|대학|한문 산문|고급
視而不見|보아도 보이지 않는다|대학|한문 산문|고급
聽而不聞|들어도 들리지 않으며|대학|한문 산문|고급
食而不知其味|먹어도 그 맛을 알지 못한다|대학|한문 산문|고급
富潤屋|부는 집을 윤택하게 하고|대학|한문 산문|고급
德潤身|덕은 몸을 윤택하게 한다|대학|한문 산문|고급
天命之謂性|하늘이 명한 것을 성이라 하고|중용|한문 산문|고급
率性之謂道|성을 따르는 것을 도라 하며|중용|한문 산문|고급
修道之謂敎|도를 닦는 것을 교라 한다|중용|한문 산문|고급
博學之|널리 배우고|중용|한문 산문|중급
審問之|살펴 묻고|중용|한문 산문|중급
愼思之|삼가 생각하고|중용|한문 산문|중급
明辨之|밝게 분별하고|중용|한문 산문|중급
篤行之|독실하게 행하라|중용|한문 산문|중급
# === 채근담 (고급) ===
徑路窄處|좁은 길목에서는|채근담|고전 산문|고급
留一步與人行|한 걸음을 남겨 남을 지나가게 하라|채근담|고전 산문|고급
滋味濃的|맛이 진한 것은|채근담|고전 산문|고급
減三分讓人嗜|삼 푼을 덜어 남에게 맛보게 하라|채근담|고전 산문|고급
事事留個有餘|일마다 여유를 조금씩 남겨 두면|채근담|고전 산문|고급
便覺天地寬|문득 천지가 너그러움을 깨닫는다|채근담|고전 산문|고급
寵辱不驚|영예와 욕됨에 놀라지 않고|채근담|고전 산문|고급
閑看庭前花開花落|뜰 앞에 꽃 피고 짐을 한가로이 본다|채근담|고전 산문|고급
去留無意|가고 머묾에 뜻을 두지 않고|채근담|고전 산문|고급
漫隨天外雲卷雲舒|하늘 밖 구름 펴고 걷힘을 무심히 따른다|채근담|고전 산문|고급
# === 고문진보·시가 (중급~고급) ===
盤中飧|소반 위의 밥|민간|고전 시가|중급
粒粒皆辛苦|알알이 모두 고생이다|이신|고전 시가|고급
春眠不覺曉|봄잠에 날 밝는 줄 모르더니|맹호연|고전 시가|중급
處處聞啼鳥|곳곳에 새 우는 소리 들린다|맹호연|고전 시가|중급
夜來風雨聲|밤사이 비바람 소리에|맹호연|고전 시가|중급
花落知多少|꽃은 얼마나 떨어졌을까|맹호연|고전 시가|고급
白日依山盡|밝은 해는 산에 기대어 지고|왕지환|고전 시가|고급
黃河入海流|황하는 바다로 흘러든다|왕지환|고전 시가|고급
欲窮千里目|천 리 끝까지 바라보려고|왕지환|고전 시가|고급
更上一層樓|다시 한 층 더 올라간다|왕지환|고전 시가|고급
床前明月光|침상 앞 밝은 달빛을|이백|고전 시가|중급
疑是地上霜|땅 위의 서리인가 의심하였다|이백|고전 시가|고급
擧頭望明月|머리 들어 밝은 달을 바라보고|이백|고전 시가|중급
低頭思故鄕|머리 숙여 고향을 생각한다|이백|고전 시가|중급
國破山河在|나라는 깨졌어도 산하는 그대로요|두보|고전 시가|고급
城春草木深|성에 봄이 드니 초목만 무성하다|두보|고전 시가|고급
感時花濺淚|시절을 느껴 꽃에도 눈물 뿌리고|두보|고전 시가|고급
恨別鳥驚心|이별이 한스러워 새 소리에도 놀란다|두보|고전 시가|고급
紅顔棄軒冕|젊어서는 벼슬을 버리고|이백|고전 시가|고급
白首臥松雲|늙어서는 솔과 구름에 눕는다|이백|고전 시가|고급
獨坐幽篁裏|그윽한 대숲 속에 홀로 앉아|왕유|고전 시가|고급
彈琴復長嘯|거문고 타고 다시 길게 휘파람 분다|왕유|고전 시가|고급
深林人不知|깊은 숲이라 사람은 모르나|왕유|고전 시가|고급
明月來相照|밝은 달이 와서 비추어 준다|왕유|고전 시가|고급
# === 추가 명심보감·경전 명구로 보충 ===
良藥苦於口|좋은 약은 입에 쓰지만|공자가어|한문 산문|고급
而利於病|병에는 이롭다|공자가어|한문 산문|고급
忠言逆於耳|충고하는 말은 귀에 거슬리지만|공자가어|한문 산문|고급
而利於行|행실에는 이롭다|공자가어|한문 산문|고급
玉不琢|옥은 다듬지 않으면|예기|한문 산문|중급
不成器|그릇이 되지 못하고|예기|한문 산문|중급
人不學|사람은 배우지 않으면|예기|한문 산문|중급
不知道|도를 알지 못한다|예기|한문 산문|중급
學然後知不足|배운 뒤에야 부족함을 알고|예기|한문 산문|고급
敎然後知困|가르친 뒤에야 막힘을 안다|예기|한문 산문|고급
一寸光陰一寸金|한 치의 시간은 한 치의 황금이나|주문공|고전 시가|고급
寸金難買寸光陰|황금으로도 한 치 시간은 사기 어렵다|주문공|고전 시가|고급
讀書百遍|글을 백 번 읽으면|삼국지|한문 산문|중급
其義自見|그 뜻이 절로 드러난다|삼국지|한문 산문|고급
業精於勤|학업은 부지런함에서 정밀해지고|한유|한문 산문|고급
荒於嬉|놀이에서 황폐해진다|한유|한문 산문|고급
行成於思|행실은 생각에서 이루어지고|한유|한문 산문|고급
毁於隨|방종에서 무너진다|한유|한문 산문|고급
千里馬常有|천리마는 늘 있으나|한유|한문 산문|고급
而伯樂不常有|백락은 늘 있지 않다|한유|한문 산문|고급
不入虎穴|범의 굴에 들어가지 않으면|후한서|역사문|고급
不得虎子|범의 새끼를 얻지 못한다|후한서|역사문|고급
塞翁之馬|변방 늙은이의 말이니|회남자|한문 산문|고급
焉知非福|어찌 복이 아닌 줄 알겠는가|회남자|한문 산문|고급
前事不忘|지난 일을 잊지 않는 것이|전국책|역사문|고급
後事之師|뒷일의 스승이 된다|전국책|역사문|고급
亡羊補牢|양을 잃고 우리를 고쳐도|전국책|역사문|고급
未爲遲也|아직 늦은 것은 아니다|전국책|역사문|고급
百聞不如一見|백 번 듣는 것이 한 번 보는 것만 못하다|한서|역사문|고급
水滴穿石|물방울이 돌을 뚫는 것은|학림옥로|한문 산문|고급
繩鋸斷木|노끈 톱으로 나무를 자른다|학림옥로|한문 산문|고급
他山之石|다른 산의 돌로도|시경|고전 시가|고급
可以攻玉|옥을 갈 수 있다|시경|고전 시가|고급
切磋琢磨|자르고 갈고 쪼고 다듬듯이|시경|고전 시가|고급
靑出於藍|푸름은 쪽에서 나왔으나|순자|한문 산문|고급
而靑於藍|쪽보다 더 푸르다|순자|한문 산문|고급
氷水爲之|얼음은 물이 된 것이나|순자|한문 산문|고급
而寒於水|물보다 더 차다|순자|한문 산문|고급
鍥而不舍|새기다가 그만두지 않으면|순자|한문 산문|고급
金石可鏤|쇠와 돌도 새길 수 있다|순자|한문 산문|고급
不積跬步|반걸음을 쌓지 않으면|순자|한문 산문|고급
無以至千里|천 리에 이를 수 없다|순자|한문 산문|고급
不積小流|작은 물줄기를 모으지 않으면|순자|한문 산문|고급
無以成江海|강과 바다를 이룰 수 없다|순자|한문 산문|고급
